Id;Name;COR_Y;COR_X;Address;phoneNumber;Working Hours;Language;Images
19;SuDrogueria La Decima;16.175.528;-756.125.399;Cl. 17 #10-2 a 10-124;No aplica;"Thursday: 8 AM–9:45 PM
Friday: 8 AM–9:45 PM
Saturday: 8 AM–9:45 PM
Sunday: 4–10 PM
Monday: 8 AM–9:45 PM
Tuesday: 8 AM–9:45 PM
Wednesday: 8 AM–9:45 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
20;drogueria FERMARY;16.201.102;-75.596.967;calle 9 # 2b-93;+57 312 3698142;"Thursday: 7 AM–10 PM
Friday: 7 AM–10 PM
Saturday: 7 AM–10 PM
Sunday: 8 AM–10 PM
Monday: 7 AM–10 PM
Tuesday: 7 AM–10 PM
Wednesday: 7 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
21;CentroDrogas;16.161.572;-756.148.333;Cra. 13 #16 02;+57 313 4526797;"Thursday: 6:30 AM–7:30 PM
Friday: 6:30 AM–7:30 PM
Saturday: 6:30 AM–7:30 PM
Sunday: 7 AM–2 AM
Monday: 6:30 AM–7:30 PM
Tuesday: 6:30 AM–7:30 PM
Wednesday: 6:30 AM–7:30 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
22;DROGAS CAROL;16.028.336;-756.010.023;Cra. 15a #2c-2;+57 314 8635640;"Thursday: 8 AM–9 PM
Friday: 8 AM–9 PM
Saturday: 8 AM–9 PM
Sunday: 8 AM–12 AM
Monday: 8 AM–9 PM
Tuesday: 8 AM–9 PM
Wednesday: 8 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
23;DROGUERIA EL SOL FLORENCIA;16.103.619;-755.988.828;Cl. 2c #7-64;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
24;DROGUERIA FARMACAQ;16.203.041;-756.160.518;Barrio La Consolata;+57 322 6935904;"Thursday: 8 AM–9 PM
Friday: 8 AM–9 PM
Saturday: 8 AM–9 PM
Sunday: 8 AM–9 PM
Monday: 8 AM–9 PM
Tuesday: 8 AM–9 PM
Wednesday: 8 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
25;DROGUERIA FARMAPLUS FP;16.296.293;-756.046.209;EL ROSAL;+57 311 5500394;"Thursday: 7 AM–11:30 PM
Friday: 7 AM–11:30 PM
Saturday: 7 AM–11:30 PM
Sunday: 7 AM–11:30 PM
Monday: 7 AM–11:30 PM
Tuesday: 7 AM–11:30 PM
Wednesday: 7 AM–11:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
26;DROGUERIA YAPURA;15.993.301;-756.030.834;Florencia, Caquetá;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
27;DROGUERÍA SELECTA 1;16.152.851;-75.613.881;Cl. 15 #12-06 Esquina;+57 84352494;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
28;Deposito Drogas Del Sur;16.173.143;-756.139.209;Calle 17 No. 11-46;+57 84351222;"Thursday: 7:30 AM–6 PM
Friday: 7:30 AM–6 PM
Saturday: 7:30 AM–6 PM
Sunday: Closed
Monday: 7:30 AM–6 PM
Tuesday: 7:30 AM–6 PM
Wednesday: 7:30 AM–6 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
29;Distrimedicals Droguería;16.139.941;-75.616.315;Cra. 15 #14-15;+57 321 3517266;"Thursday: 7:30 AM–7 PM
Friday: 7:30 AM–7 PM
Saturday: 7:30 AM–1 PM
Sunday: Closed
Monday: 7:30 AM–7 PM
Tuesday: 7:30 AM–7 PM
Wednesday: 7:30 AM–7 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
30;Drogueria Farmacentro;1.618.271;-756.135.689;Cra. 11 #18-15;No aplica;"Thursday: 8 AM–6 PM
Friday: 8 AM–6 PM
Saturday: 8 AM–6 PM
Sunday: Closed
Monday: 8 AM–6 PM
Tuesday: 8 AM–6 PM
Wednesday: 8 AM–6 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
31;Drogueria Inyectologia;1.616.018;-756.091.848;Cra. 6;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
32;Drogueria San Angel DJ;16.223.555;-756.066.043;Calle 20 No 1b 43;+57 321 4826299;"Thursday: 7–9:30 AM
Friday: 7–9:30 AM
Saturday: 7–9:30 AM
Sunday: 7–9:30 AM
Monday: 7–9:30 AM
Tuesday: 7–9:30 AM
Wednesday: 7–9:30 AM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
33;Drogueria San Gabriel;16.039.475;-755.956.186;Florencia, Caquetá;No aplica;"Thursday: 7:30 AM–7:30 PM
Friday: 7:30 AM–7:30 PM
Saturday: 7:30 AM–7:30 PM
Sunday: Closed
Monday: 7:30 AM–7:30 PM
Tuesday: 7:30 AM–7:30 PM
Wednesday: 7:30 AM–7:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
34;Droguería MEDICOR Florencia;16.057.041;-756.026.839;Cra. 14;+57 310 3460695;"Thursday: 7 AM–11 PM
Friday: 7 AM–11 PM
Saturday: 7 AM–11 PM
Sunday: 7 AM–11 PM
Monday: 7 AM–11 PM
Tuesday: 7 AM–11 PM
Wednesday: 7 AM–11 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
35;Droguería Por Tu Salud;16.255.402;-756.028.399;Cl. 20 #2-05;No aplica;"Thursday: 8 AM–10 PM
Friday: 8 AM–10 PM
Saturday: 8 AM–11 PM
Sunday: 8 AM–10 PM
Monday: 8 AM–10 PM
Tuesday: 8 AM–10 PM
Wednesday: 8 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
36;Droguería Pro y Farmas;16.085.647;-755.977.549;180001;+57 312 5774806;"Thursday: 7:30 AM–7:30 PM
Friday: 7:30 AM–7:30 PM
Saturday: 7:30 AM–7:30 PM
Sunday: Closed
Monday: 7:30 AM–7:30 PM
Tuesday: 7:30 AM–7:30 PM
Wednesday: 7:30 AM–7:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
37;Droguería Súper Descuento;16.209.182;-756.096.848;Cl. 21 #5-20;No aplica;"Thursday: 7 AM–12 PM
Friday: 7 AM–12 PM
Saturday: 7 AM–12 PM
Sunday: 7 AM–12 PM
Monday: 7 AM–12 PM
Tuesday: 7 AM–12 PM
Wednesday: 7 AM–12 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
38;LA REBAJA PLUS NO. 1 - FLORENCIA;16.154.547;-756.132.295;Cl. 15 # 11-14;+57 608 4347699;"Thursday: 7 AM–10:30 PM
Friday: 7 AM–10:30 PM
Saturday: 8 AM–10:30 PM
Sunday: 8 AM–10 PM
Monday: 7 AM–10:30 PM
Tuesday: 7 AM–10:30 PM
Wednesday: 7 AM–10:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
39;OPTIFARMA DROGUERÍAS;16.171.388;-75.613.633;Florencia, Caquetá;+57 313 2082397;"Thursday: 7 AM–7 PM
Friday: 7 AM–7 PM
Saturday: 7 AM–7 PM
Sunday: 7 AM–1 PM
Monday: 7 AM–7 PM
Tuesday: 7 AM–7 PM
Wednesday: 7 AM–7 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
40;Super Drogas Las Avenidas;16.094.835;-756.059.072;Car 11 N 5B 14;+57 312 3077141;"Thursday: 7 AM–8:30 PM
Friday: 7 AM–8:30 PM
Saturday: 7 AM–8:30 PM
Sunday: 7:30 AM–8:30 PM
Monday: 7 AM–8:30 PM
Tuesday: 7 AM–8:30 PM
Wednesday: 7 AM–8:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
41;BIODROGAS Droguería Minimarket;16.199.524;-75.615.878;Cl. 21 #12-51;+57 315 2887720;"Thursday: 8 AM–10 PM
Friday: 8 AM–10 PM
Saturday: 8 AM–10 PM
Sunday: Closed
Monday: 8 AM–10 PM
Tuesday: 8 AM–10 PM
Wednesday: 8 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
42;DROGUERIA COMFACA;16.125.314;-756.118.359;a 10-131,;+57 84366300;"Thursday: 8 AM–8 PM
Friday: 8 AM–8 PM
Saturday: 8 AM–8 PM
Sunday: 8 AM–12 PM
Monday: 8 AM–8 PM
Tuesday: 8 AM–8 PM
Wednesday: 8 AM–8 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
43;DROGUERÍA Salud Vital(no es la EPS);16.263.339;-756.034.026;Calle 22 1C 42-46 4375227;+57 4375227;"Thursday: 7 AM–11 PM
Friday: 7 AM–11 PM
Saturday: 7 AM–11 PM
Sunday: 8:30–10 AM
Monday: 7 AM–11 PM
Tuesday: 7 AM–11 PM
Wednesday: 7 AM–11 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
44;Drogas Condor;16.169.331;-756.142.278;a 16-108,;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
45;Drogas Del Parque;16.136.141;-756.144.902;Cl. 13;+57 84342533;;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
46;Drogas mateo;16.153.858;-756.042.364;Carrera 14B;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
47;Droguerias Cruz Verde - C.C. Gran Plaza Florencia;16.244.764;-756.060.658;Centro Comercial Gran Plaza;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
48;Droguería Colsubsidio;16.112.925;-756.077.101;Cra. 9 #7 - 75;+57 322 8839091;"Thursday: 7 AM–6 PM
Friday: 7 AM–6 PM
Saturday: 7 AM–6 PM
Sunday: Closed
Monday: 7 AM–6 PM
Tuesday: 7 AM–6 PM
Wednesday: 7 AM–6 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
49;Droguería JARG;16.280.348;-755.973.553;Cra. 1 Bis #16-3;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
50;Droguería Medicor Florencia II;16.074.339;-756.018.055;Jorge Eliecer Gaitan;+57 311 5423867;"Thursday: 7 AM–11 PM
Friday: 7 AM–11 PM
Saturday: 7 AM–11 PM
Sunday: 9 AM–11 PM
Monday: 7 AM–11 PM
Tuesday: 7 AM–11 PM
Wednesday: 7 AM–11 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
51;Droguería y variedades la victoria;161.992;-75.616.136;Cl. 21 #13 07;+57 320 3443629;;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
52;Drugs Economia;16.158.338;-756.131.471;Cra. 11 #15-51;+57 84342113;"Thursday: 7:30 AM–7 PM
Friday: 8 AM–6:30 PM
Saturday: 8 AM–6:30 PM
Sunday: 8 AM–12 PM
Monday: 8 AM–6:30 PM
Tuesday: 8 AM–6:30 PM
Wednesday: 8 AM–6:30 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
53;FARMASALUD DROGUERIA;16.057.227;-756.024.148;Calle 3 N. 14-02 B/ Versalles - rosal;+57 310 7646025;"Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Closed
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
54;Farmacenter La 14 Florencia;1.615.682;-75.615.712;Cra. 14 #Cll 14;+57 84341666;"Thursday: 7 AM–9 PM
Friday: 7 AM–9 PM
Saturday: 7 AM–9 PM
Sunday: 8 AM–1 PM
Monday: 7 AM–9 PM
Tuesday: 7 AM–9 PM
Wednesday: 7 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
55;Farmacia Droguería Moderna;16.336.444;-756.064.996;Florencia, Caquetá;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
56;LA REBAJA NO. 1 - FLORENCIA;16.168.486;-756.150.227;Esquina;+57 608 4357501;"Thursday: 6:30 AM–7:30 PM
Friday: 6:30 AM–7:30 PM
Saturday: 6:30 AM–7:30 PM
Sunday: 7 AM–6 PM
Monday: 6:30 AM–7:30 PM
Tuesday: 6:30 AM–7:30 PM
Wednesday: 6:30 AM–7:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
57;LA REBAJA NO. 3 - FLORENCIA;16.162.207;-756.132.593;Cl 16 #11 - 01;+57 608 4356095;"Thursday: 7 AM–9:30 PM
Friday: 7 AM–9:30 PM
Saturday: 7 AM–9:30 PM
Sunday: 8 AM–8 PM
Monday: 7 AM–9:30 PM
Tuesday: 7 AM–9:30 PM
Wednesday: 7 AM–9:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
58;LA REBAJA NO. 6 - FLORENCIA;16.145.875;-756.128.909;Cl. 14 #11 - 11;+57 608 4356708;"Thursday: 7 AM–9 PM
Friday: 7 AM–9 PM
Saturday: 7 AM–9 PM
Sunday: 8 AM–7 PM
Monday: 7 AM–9 PM
Tuesday: 7 AM–9 PM
Wednesday: 7 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
59;Mi Farmacia Plus - Farmacenter;16.108.784;-756.062.244;Cl. 6 #9B - 05 Esquina;+57 608 4380288;"Thursday: 8 AM–8 PM
Friday: 8 AM–8 PM
Saturday: 8 AM–8 PM
Sunday: 9 AM–2 PM
Monday: 8 AM–8 PM
Tuesday: 8 AM–8 PM
Wednesday: 8 AM–8 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
60;drogueria san mateo;1.614.685;-756.160.823;Cl. 15 #14-58;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
61;DROGUERÍA LA POPULAR;16.273.791;-756.389.295;Cl. 37A #38- 04;No aplica;"Thursday: 8 AM–9 PM
Friday: 8 AM–9 PM
Saturday: 8 AM–9 PM
Sunday: 12–8 PM
Monday: 8 AM–9 PM
Tuesday: 8 AM–9 PM
Wednesday: 8 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
62;Discount Drugs;16.172.137;-756.108.975;Esquina;+57 608 4347222;"Thursday: 7 AM–9 PM
Friday: 7 AM–9 PM
Saturday: 7 AM–9 PM
Sunday: 8 AM–7 PM
Monday: 7 AM–9 PM
Tuesday: 7 AM–9 PM
Wednesday: 7 AM–9 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
63;Drogas La Consolata;16.205.379;-756.146.338;Cra. 10;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
64;Drogas Plus;16.149.439;-756.083.248;Cl. 12;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
65;Drogas Vitafarma;16.139.266;-756.068.429;Cra. 5b;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
66;Drogas el Caguan;16.172.478;-756.153.155;Cra. 13 #17-67;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
67;Drogueria Bellavista;15.993.727;-756.021.703;Cra. 22 #2c - 38;No aplica;"Thursday: 7–10 AM
Friday: 7 AM–10 PM
Saturday: 8 AM–9:30 PM
Sunday: 2:30–9:30 PM
Monday: 7 AM–10 PM
Tuesday: 7 AM–10 PM
Wednesday: 7 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
68;Drogueria Biosalud;16.273.096;-756.391.039;Florencia, Caquetá;No aplica;"Thursday: 8:30 AM–8 PM
Friday: 8:30 AM–8 PM
Saturday: 8:30 AM–8 PM
Sunday: Closed
Monday: 8:30 AM–8 PM
Tuesday: 8:30 AM–8 PM
Wednesday: 8:30 AM–8 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
69;Drogueria de la Cruz Roja;1.614.684;-756.145.656;Cra. 13 #141 a 14-99;No aplica;"Thursday: 8 AM–6 PM
Friday: 8 AM–6 PM
Saturday: 8 AM–5 PM
Sunday: Closed
Monday: 8 AM–6 PM
Tuesday: 8 AM–6 PM
Wednesday: 8 AM–6 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
70;Droguerias Cruz Verde - Acolsure;16.207.489;-756.223.056;Cl 26;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
71;Droguerìa Super Salud V&Y;16.145.415;-756.047.393;Florencia, Caquetá;+57 322 3815534;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
72;Droguería Carol;15.994.121;-755.987.843;a 19-57;No aplica;No aplica;English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
73;Droguería Super Descuento D.A.B;16.147.757;-756.047.469;Cl. 6ª;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
74;Droguería la súper rebaja;16.257.507;-755.903.548;Cra. 14 Este #9;No aplica;No aplica;Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
75;Famarcias Cruz Verde;16.139.457;-756.162.171;Cra. 15 #14 - 17;+57 1 800 0999991;"Thursday: 8 AM–6 PM
Friday: 8 AM–6 PM
Saturday: 9 AM–12 PM
Sunday: Closed
Monday: 8 AM–6 PM
Tuesday: 8 AM–6 PM
Wednesday: 8 AM–6 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
76;Farmacenter Mateo;1.603.705;-75.601.664;Cra. 15 #2B-62;+57 84358959;"Thursday: 7 AM–10 PM
Friday: 7 AM–10 PM
Saturday: 7 AM–10 PM
Sunday: 8 AM–12 PM
Monday: 7 AM–10 PM
Tuesday: 7 AM–10 PM
Wednesday: 7 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
77;Farmacia Surtimedica;16.123.809;-756.108.623;barrio cooperativa Calle 10 N.9-74 Barrio cooperativa;+57 310 8178970;"Thursday: 8 AM–6 PM
Friday: 8 AM–6 PM
Saturday: 8 AM–1 PM
Sunday: Closed
Monday: 8 AM–6 PM
Tuesday: 8 AM–6 PM
Wednesday: 8 AM–6 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
